fips,state,county,county_name,total_population,median_age,median_household_income,unemployment_rate_pct,poverty_rate_pct,median_home_value,median_gross_rent,owner_occupied_pct,renter_occupied_pct,rent_30_to_34_9_pct,rent_35_plus_pct,hispanic_or_latino_pct,white_non_hispanic_pct,rent_burden_30_plus_pct,home_value_to_income_ratio,annual_rent_to_income_ratio,annual_rent_to_income_pct
08001,08,001,Adams County,530225,34.8,94571,4.6,9.8,484200,1781,68.6,31.4,11.6,45.8,42.8,45.2,57.4,5.119962779287519,0.2259889395269163,22.59889395269163
08003,08,003,Alamosa County,16581,33.2,55397,3.7,17.2,239100,907,55.9,44.1,8.2,29.0,48.2,45.2,37.2,4.316118201346644,0.19647273318049713,19.647273318049713
08005,08,005,Arapahoe County,659844,37.3,101087,5.0,8.6,561200,1891,64.7,35.3,11.0,45.4,21.7,55.2,56.4,5.551653526170527,0.2244799034495039,22.447990344950387
08007,08,007,Archuleta County,13900,52.1,83065,1.3,8.2,478100,1432,80.1,19.9,7.3,43.2,16.6,77.4,50.5,5.755733461746825,0.20687413471377836,20.687413471377837
08009,08,009,Baca County,3428,43.0,46215,0.6,24.6,122900,592,71.5,28.5,8.6,40.6,10.9,82.8,49.2,2.6593097479173426,0.1537163258682246,15.371632586822459
08011,08,011,Bent County,5549,40.6,50179,5.8,28.4,146900,1162,65.2,34.8,8.1,50.8,32.5,53.7,58.9,2.927519480260667,0.2778851710875067,27.78851710875067
08013,08,013,Boulder County,328961,37.7,103994,4.8,11.2,756300,1966,62.0,38.0,9.9,50.0,14.7,74.5,59.9,7.27253495393965,0.2268592418793392,22.68592418793392
08014,08,014,Broomfield County,76304,38.6,123874,3.8,6.2,664500,2126,62.7,37.3,8.9,35.3,14.1,72.4,44.199999999999996,5.364321810872338,0.20595120848604226,20.595120848604225
08015,08,015,Chaffee County,20178,48.7,84132,4.8,8.3,665700,1611,74.1,25.9,14.1,45.6,9.8,84.2,59.7,7.912565967764941,0.22978177150192555,22.978177150192554
08017,08,017,Cheyenne County,1741,42.9,70865,0.4,8.2,187500,926,72.6,27.4,1.3,39.0,10.8,78.3,40.3,2.6458759613349327,0.15680519297255344,15.680519297255344
08019,08,019,Clear Creek County,9262,49.1,94577,4.8,6.4,608500,1467,81.6,18.4,22.3,36.5,7.8,85.8,58.8,6.433910993159014,0.18613404950463644,18.613404950463643
08021,08,021,Conejos County,7530,40.6,50978,4.8,11.7,193400,748,76.5,23.5,9.0,33.5,49.8,46.0,42.5,3.7937934010749736,0.1760759543332418,17.60759543332418
08023,08,023,Costilla County,3607,50.5,36861,3.5,21.0,184700,927,79.0,21.0,4.4,45.8,54.7,37.3,50.199999999999996,5.010715932828735,0.3017823716122731,30.17823716122731
08025,08,025,Crowley County,5647,40.8,48826,3.9,19.4,116200,984,69.5,30.5,6.2,46.3,29.0,55.7,52.5,2.379879572358989,0.24183836480563634,24.183836480563635
08027,08,027,Custer County,5247,58.2,72674,3.7,12.7,392100,1069,85.3,14.7,7.0,42.5,4.2,88.9,49.5,5.395327077083964,0.1765142967223491,17.65142967223491
08029,08,029,Delta County,31598,48.1,57774,3.2,14.0,343200,1121,77.9,22.1,11.2,46.2,14.5,79.8,57.400000000000006,5.9403884100114235,0.23283830096583238,23.283830096583237
08031,08,031,Denver County,718877,35.3,94718,4.9,11.2,616000,1831,48.8,51.2,9.8,37.8,28.0,54.0,47.599999999999994,6.503515699233514,0.2319728034798032,23.19728034798032
08033,08,033,Dolores County,2432,56.7,64907,2.5,21.6,247600,986,81.3,18.7,12.4,20.2,9.9,82.7,32.6,3.8146887084597965,0.1822915864236523,18.22915864236523
08035,08,035,Douglas County,377150,39.6,149594,3.6,3.8,713600,2193,77.4,22.6,10.0,41.2,10.2,77.0,51.2,4.770244795914275,0.1759161463695068,17.59161463695068
08037,08,037,Eagle County,55135,39.7,104096,4.7,8.7,839500,2019,65.9,34.1,9.0,55.7,30.4,62.2,64.7,8.064671072855825,0.23274669535813095,23.274669535813093
08041,08,041,El Paso County,742999,35.1,90363,5.4,8.5,461000,1696,66.2,33.8,10.4,44.4,18.7,65.6,54.8,5.101645585029271,0.22522492613127054,22.522492613127053
08039,08,039,Elbert County,27874,45.0,132685,3.4,5.3,709800,1311,95.0,5.0,9.0,32.5,9.2,82.8,41.5,5.349512002110261,0.11856652975091382,11.856652975091382
08043,08,043,Fremont County,49634,44.7,62664,4.3,13.3,324000,1070,75.6,24.4,9.2,35.8,13.2,77.8,45.0,5.170432784373803,0.2049023362696285,20.49023362696285
08045,08,045,Garfield County,62479,37.6,91131,3.4,8.2,527800,1637,69.6,30.4,11.2,35.0,32.6,61.5,46.2,5.791662551711273,0.21555782335319484,21.555782335319485
08047,08,047,Gilpin County,5901,47.2,95361,3.1,11.2,573900,1658,87.5,12.5,7.9,33.2,7.4,84.8,41.1,6.0181835341491805,0.20863875169094284,20.863875169094285
08049,08,049,Grand County,15895,45.4,88612,4.1,7.6,601500,1493,73.4,26.6,6.5,36.4,10.2,76.8,42.9,6.788019681307272,0.202184805669661,20.2184805669661
08051,08,051,Gunnison County,17241,37.5,84527,4.7,11.3,621800,1252,66.8,33.2,6.1,44.7,10.0,84.1,50.800000000000004,7.356229370497001,0.17774202325884036,17.774202325884037
08053,08,053,Hinsdale County,1005,48.5,75972,0.0,4.1,437900,1171,76.1,23.9,0.0,5.3,1.9,86.6,5.3,5.7639656715632075,0.18496288106144368,18.49628810614437
08055,08,055,Huerfano County,6972,55.3,52526,8.0,17.3,247800,838,75.1,24.9,4.3,47.6,30.6,62.9,51.9,4.717663633248296,0.19144804477782432,19.144804477782433
08057,08,057,Jackson County,1372,51.6,47667,9.2,14.6,239600,1701,71.1,28.9,9.5,49.5,10.5,86.6,59.0,5.026538275956113,0.42822078167285543,42.82207816728555
08059,08,059,Jefferson County,579377,40.5,110656,3.9,6.7,637600,1861,70.7,29.3,10.5,42.5,16.1,75.2,53.0,5.762001156737999,0.20181463273568537,20.181463273568536
08061,08,061,Kiowa County,1376,45.4,58618,0.1,11.8,161500,800,68.7,31.3,2.3,33.6,12.9,83.1,35.9,2.7551264116824186,0.16377222013715922,16.377222013715922
08063,08,063,Kit Carson County,7023,39.5,70259,2.4,9.8,239500,973,72.6,27.4,11.6,27.8,20.2,74.9,39.4,3.408815952404674,0.16618511507422537,16.618511507422536
08067,08,067,La Plata County,56331,43.2,86056,3.8,11.7,591500,1504,70.9,29.1,8.9,43.8,12.9,76.1,52.699999999999996,6.873431254067119,0.20972390071581296,20.972390071581295
08065,08,065,Lake County,7380,37.3,96575,2.2,7.9,466100,1397,75.6,24.4,13.2,48.7,32.8,58.3,61.900000000000006,4.8263008024851155,0.1735852964017603,17.35852964017603
08069,08,069,Larimer County,367368,36.8,93765,4.8,11.2,569100,1716,64.0,36.0,10.5,45.0,12.9,79.2,55.5,6.069428891377379,0.21961286194208926,21.961286194208927
08071,08,071,Las Animas County,14413,46.6,52074,5.6,18.7,237600,891,68.6,31.4,12.1,39.8,38.8,54.2,51.9,4.562737642585551,0.20532319391634982,20.53231939163498
08073,08,073,Lincoln County,5550,40.9,62861,1.4,9.8,246500,868,71.7,28.3,8.7,26.0,15.2,74.1,34.7,3.921350280778225,0.16569892302063283,16.569892302063284
08075,08,075,Logan County,20892,39.2,51829,5.4,15.8,245300,1013,66.3,33.7,14.4,34.9,17.2,75.5,49.3,4.732871558393949,0.23454050820968955,23.454050820968956
08077,08,077,Mesa County,158601,41.3,73658,5.4,10.7,378600,1182,72.5,27.5,8.5,40.3,15.5,78.4,48.8,5.139971218333379,0.19256564120665778,19.25656412066578
08079,08,079,Mineral County,729,56.4,56250,9.1,10.0,430500,928,69.7,30.3,25.2,34.0,6.3,85.3,59.2,7.653333333333333,0.19797333333333333,19.797333333333334
08081,08,081,Moffat County,13207,40.1,73849,4.5,8.4,289500,1039,69.4,30.6,5.8,27.6,16.8,76.5,33.4,3.920161410445639,0.16883099297214588,16.88309929721459
08083,08,083,Montezuma County,26412,44.5,65244,3.9,13.3,331400,942,76.2,23.8,14.0,42.9,12.5,70.5,56.9,5.079394273802955,0.173257311017105,17.325731101710502
08085,08,085,Montrose County,43807,46.1,72120,4.4,11.5,388400,1188,75.4,24.6,10.2,39.0,21.5,73.1,49.2,5.385468663338879,0.19767054908485857,19.767054908485857
08087,08,087,Morgan County,29520,37.5,73278,5.3,14.3,338600,1025,67.3,32.7,7.6,43.7,38.4,54.6,51.300000000000004,4.620759300199241,0.1678539261442725,16.78539261442725
08089,08,089,Otero County,18321,41.8,54037,6.7,22.1,168900,839,68.9,31.1,12.7,33.7,42.0,52.4,46.400000000000006,3.1256361382016027,0.18631678294501916,18.631678294501917
08091,08,091,Ouray County,5087,55.4,91020,3.5,4.3,739800,1786,82.5,17.5,2.1,44.5,6.1,89.1,46.6,8.127883981542519,0.23546473302570864,23.546473302570863
08093,08,093,Park County,17907,51.2,103670,3.3,5.0,532100,2161,86.2,13.8,6.4,28.7,7.6,85.3,35.1,5.132632391241439,0.25013986688530915,25.013986688530913
08095,08,095,Phillips County,4496,40.9,64674,2.9,16.8,258200,999,71.9,28.1,10.1,23.8,28.9,69.4,33.9,3.9923307666140952,0.18536042304480935,18.536042304480933
08097,08,097,Pitkin County,16985,47.2,102645,2.5,7.8,1139100,2004,62.8,37.2,7.6,45.7,11.4,80.3,53.300000000000004,11.097471869063277,0.23428320911880754,23.428320911880753
08099,08,099,Prowers County,11910,37.7,53508,4.1,18.2,160600,808,67.1,32.9,19.8,39.3,40.5,55.0,59.099999999999994,3.0014203483591237,0.18120654855348733,18.120654855348732
08101,08,101,Pueblo County,169356,40.4,64010,4.8,14.6,291300,1111,68.9,31.1,7.5,44.9,42.1,51.0,52.4,4.550851429464147,0.20827995625683488,20.82799562568349
08103,08,103,Rio Blanco County,6544,37.8,65473,2.4,8.5,274400,919,74.3,25.7,10.5,18.2,10.8,82.0,28.7,4.191040581613795,0.16843584378293341,16.843584378293343
08105,08,105,Rio Grande County,11321,41.7,64411,10.1,18.0,239500,945,67.1,32.9,2.6,36.2,40.7,54.7,38.800000000000004,3.7183089844902266,0.17605688469360822,17.60568846936082
08107,08,107,Routt County,25084,43.4,106489,2.4,5.2,854700,1917,76.0,24.0,10.9,46.1,9.0,80.1,57.0,8.02618110790786,0.21602231216369766,21.602231216369766
08109,08,109,Saguache County,6580,49.6,50082,10.3,17.8,212600,828,76.9,23.1,6.5,41.5,36.8,54.9,48.0,4.245038137454575,0.19839463280220437,19.839463280220436
08111,08,111,San Juan County,724,37.5,77824,9.4,21.3,432500,992,52.9,47.1,3.9,40.4,18.2,76.2,44.3,5.557411595394737,0.15296052631578946,15.296052631578947
08113,08,113,San Miguel County,7968,43.3,79024,2.7,9.3,720700,1149,63.0,37.0,3.4,50.1,11.7,84.0,53.5,9.120014172909496,0.1744786394006884,17.44786394006884
08115,08,115,Sedgwick County,2304,42.6,52386,2.9,13.0,149000,774,71.8,28.2,10.9,46.9,19.4,72.7,57.8,2.844271370213416,0.17729927843316917,17.72992784331692
08117,08,117,Summit County,31017,39.5,109773,5.0,7.7,939900,1928,72.1,27.9,7.6,44.2,17.2,74.5,51.800000000000004,8.562214752261484,0.21076220928643655,21.076220928643654
08119,08,119,Teller County,24825,52.2,85361,3.7,7.6,479900,1880,81.0,19.0,11.3,43.3,7.7,83.9,54.599999999999994,5.622005365447921,0.2642893124494793,26.42893124494793
08121,08,121,Washington County,4831,41.3,67167,3.1,8.1,226200,947,73.6,26.4,13.3,22.7,11.8,83.3,36.0,3.367725222207334,0.1691902273437849,16.91902273437849
08123,08,123,Weld County,350396,35.3,97097,4.8,9.6,471700,1539,76.0,24.0,10.0,45.5,31.0,62.0,55.5,4.858028569368775,0.1902015510262933,19.020155102629328
08125,08,125,Yuma County,9979,40.5,60545,4.5,17.9,211700,942,68.9,31.1,7.2,43.3,30.3,66.9,50.5,3.496572797093071,0.18670410438516805,18.670410438516804
