fips,state,county,county_name,release_year,estimate_period,total_population,median_age,median_household_income,unemployment_rate_pct,poverty_rate_pct,median_home_value,median_gross_rent,owner_occupied_pct,renter_occupied_pct,rent_30_to_34_9_pct,rent_35_plus_pct,white_alone_pct,black_or_african_american_alone_pct,american_indian_alaska_native_alone_pct,asian_alone_pct,native_hawaiian_pacific_islander_alone_pct,some_other_race_alone_pct,two_or_more_races_pct,hispanic_or_latino_pct,white_non_hispanic_pct,rent_burden_30_plus_pct,home_value_to_income_ratio,annual_rent_to_income_ratio,annual_rent_to_income_pct
08001,08,001,Adams County,2014,2010-2014,461558,331755.0,57421,9.3,14.1,100071,52947,35.5,-888888888.0,-888888888.0,41.3,81.6,3.2,1.0,3.7,0.1,6.8,3.5,38.4,52.5,-888888846.7,1.7427596175615192,11.065011058671914,1106.5011058671914
08003,08,003,Alamosa County,2014,2010-2014,16111,12190.0,31400,10.7,27.9,3523,2202,41.2,-888888888.0,-888888888.0,43.5,84.8,1.8,2.0,1.8,0.1,5.6,4.0,45.6,49.5,-888888844.5,0.11219745222929936,0.8415286624203822,84.15286624203821
08005,08,005,Arapahoe County,2014,2010-2014,596684,447424.0,62213,8.1,11.7,142463,82100,37.6,-888888888.0,-888888888.0,42.9,73.7,10.1,0.7,5.2,0.2,5.5,4.6,18.6,62.6,-888888845.1,2.289923327921817,15.835918537926156,1583.5918537926157
08007,08,007,Archuleta County,2014,2010-2014,12132,9905.0,48186,9.2,11.1,3746,1473,29.9,-888888888.0,-888888888.0,41.5,87.6,0.5,2.2,0.8,0.1,6.9,1.9,18.2,77.5,-888888846.5,0.07774042252936537,0.3668285394097871,36.68285394097871
08009,08,009,Baca County,2014,2010-2014,3735,2936.0,38625,3.7,16.3,1177,356,28.1,-888888888.0,-888888888.0,28.9,95.7,1.6,1.0,0.2,0.1,0.5,1.0,9.6,86.9,-888888859.1,0.030472491909385113,0.11060194174757282,11.060194174757282
08011,08,011,Bent County,2014,2010-2014,6000,5005.0,39053,10.1,18.4,1185,501,33.7,-888888888.0,-888888888.0,36.3,80.8,12.1,2.6,0.9,0.0,2.1,1.5,31.1,53.0,-888888851.7,0.030343379509896806,0.15394463933628658,15.394463933628657
08013,08,013,Boulder County,2014,2010-2014,305166,241959.0,69407,6.9,14.6,76007,43264,37.5,-888888888.0,-888888888.0,49.7,87.7,0.9,0.5,4.2,0.1,3.7,3.0,13.6,78.8,-888888838.3,1.0950912732145173,7.480052444277955,748.0052444277954
08014,08,014,Broomfield County,2014,2010-2014,59027,44109.0,80430,6.0,6.3,15760,6634,30.4,-888888888.0,-888888888.0,37.9,86.9,1.0,0.4,6.0,0.0,2.2,3.5,11.6,78.7,-888888850.1,0.195946786025115,0.9897799328608728,98.97799328608728
08015,08,015,Chaffee County,2014,2010-2014,18121,15238.0,48528,6.1,8.7,5855,1802,24.3,-888888888.0,-888888888.0,34.4,93.7,2.3,1.0,0.3,0.0,1.0,1.7,9.9,85.8,-888888853.6,0.12065199472469502,0.4455984174085064,44.55984174085064
08017,08,017,Cheyenne County,2014,2010-2014,2153,1566.0,53900,5.8,8.7,606,144,23.1,-888888888.0,-888888888.0,4.2,96.8,0.3,0.3,1.3,0.0,0.3,1.0,15.2,82.5,-888888883.8,0.0112430426716141,0.032059369202226344,3.2059369202226344
08019,08,019,Clear Creek County,2014,2010-2014,9114,7642.0,68531,7.3,9.3,3299,750,19.6,-888888888.0,-888888888.0,33.6,94.4,1.4,0.7,0.9,0.0,1.4,1.2,5.2,91.3,-888888854.4,0.048138798499948926,0.13132742846303133,13.132742846303133
08021,08,021,Conejos County,2014,2010-2014,8276,5985.0,37357,9.2,18.6,2401,525,20.6,-888888888.0,-888888888.0,34.9,89.6,0.1,1.7,0.1,0.0,3.8,4.7,54.7,43.1,-888888853.1,0.06427175629734722,0.16864309232540087,16.864309232540087
08023,08,023,Costilla County,2014,2010-2014,3578,2850.0,33594,15.1,25.0,1081,224,22.6,-888888888.0,-888888888.0,62.9,89.6,0.0,0.7,0.8,0.0,2.5,6.4,64.8,31.5,-888888825.1,0.032178365184259095,0.08001428826576175,8.001428826576175
08025,08,025,Crowley County,2014,2010-2014,5558,4722.0,31534,28.8,28.3,925,203,21.1,-888888888.0,-888888888.0,37.9,83.1,7.9,2.7,0.6,0.2,3.0,2.5,29.7,57.2,-888888850.1,0.02933341789814169,0.0772499524322953,7.72499524322953
08027,08,027,Custer County,2014,2010-2014,4274,3629.0,32261,12.8,17.7,1694,368,20.3,-888888888.0,-888888888.0,46.2,96.0,2.1,0.0,0.2,0.0,0.5,1.1,3.1,93.5,-888888841.8,0.052509221660828866,0.13688354359753263,13.688354359753262
08029,08,029,Delta County,2014,2010-2014,30378,23925.0,42389,12.1,16.2,8996,2981,28.2,-888888888.0,-888888888.0,46.7,94.9,1.1,0.7,0.6,0.0,1.6,1.2,14.5,82.3,-888888841.3,0.21222486965958148,0.8438981811318974,84.38981811318975
08031,08,031,Denver County,2014,2010-2014,633777,500269.0,51800,7.8,18.3,134843,130179,50.3,-888888888.0,-888888888.0,40.4,74.7,9.8,1.1,3.5,0.1,7.4,3.4,31.2,52.9,-888888847.6,2.6031467181467183,30.157297297297298,3015.7297297297296
08033,08,033,Dolores County,2014,2010-2014,1736,1399.0,32578,8.1,20.1,615,96,19.0,-888888888.0,-888888888.0,43.8,94.5,0.0,1.3,0.1,0.2,0.0,3.9,6.9,88.1,-888888844.2,0.01887777027441832,0.035361286757934804,3.5361286757934804
08035,08,035,Douglas County,2014,2010-2014,299794,211724.0,102626,4.7,4.1,85040,19264,19.3,-888888888.0,-888888888.0,33.7,90.9,1.0,0.3,3.9,0.0,1.0,2.9,8.0,84.5,-888888854.3,0.8286399158108082,2.252528598990509,225.25285989905092
08037,08,037,Eagle County,2014,2010-2014,52233,39916.0,73774,5.0,10.0,12153,5512,32.6,-888888888.0,-888888888.0,34.7,89.8,1.0,0.5,0.5,0.0,6.4,1.8,30.0,67.2,-888888853.3,0.16473283270528913,0.8965760294954862,89.65760294954862
08041,08,041,El Paso County,2014,2010-2014,645707,480412.0,57487,9.3,12.5,151792,84326,36.8,-888888888.0,-888888888.0,40.1,80.7,6.0,0.6,2.6,0.3,4.2,5.6,15.7,71.1,-888888847.9,2.6404578426426846,17.602449249395516,1760.2449249395515
08039,08,039,Elbert County,2014,2010-2014,23545,17916.0,82154,7.4,7.3,7346,817,11.1,-888888888.0,-888888888.0,35.6,95.5,0.5,0.4,0.6,0.0,0.4,2.5,5.9,90.3,-888888852.4,0.0894174355478735,0.11933685517442852,11.933685517442852
